Reference, Value, Footprint, Datasheet
"Y1","16MHz","custom-fencingTester:Quartz",""
"C3","22 pF","Capacitors_SMD:C_0805_HandSoldering",""
"C4","22 pF","Capacitors_SMD:C_0805_HandSoldering",""
"C1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"P1","SERIAL","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"C2","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"D3","Led_x2","custom-fencingTester:3PadsWires",""
"D2","Led_x2","custom-fencingTester:3PadsWires",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"R5","330","Resistors_SMD:R_0805_HandSoldering",""
"R6","330","Resistors_SMD:R_0805_HandSoldering",""
"R7","330","Resistors_SMD:R_0805_HandSoldering",""
"D4","Bargraph","custom-fencingTester:Bargraph",""
"R11","1k","Resistors_SMD:R_0805_HandSoldering",""
"R13","61k9","Resistors_SMD:R_0805_HandSoldering",""
"C5","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"P3","CONN_01X03","custom-fencingTester:3PadsWires",""
"P2","CONN_01X03","custom-fencingTester:3PadsWires",""
"R14","300","Resistors_SMD:R_0805_HandSoldering",""
"R12","61k9","Resistors_SMD:R_0805_HandSoldering",""
"R2","10k","Resistors_SMD:R_0805_HandSoldering",""
"R3","10k","Resistors_SMD:R_0805_HandSoldering",""
"R4","10k","Resistors_SMD:R_0805_HandSoldering",""
"D1","Led_x2","custom-fencingTester:3PadsWires",""
"R8","330","Resistors_SMD:R_0805_HandSoldering",""
"R9","330","Resistors_SMD:R_0805_HandSoldering",""
"R10","330","Resistors_SMD:R_0805_HandSoldering",""
"SW1","SP3T","custom-fencingTester:SW1",""
"SW2","SP3T","custom-fencingTester:SW2",""
"R43","120k","Resistors_SMD:R_0805_HandSoldering",""
"R44","120k","Resistors_SMD:R_0805_HandSoldering",""
"R45","120k","Resistors_SMD:R_0805_HandSoldering",""
"U1","TLC59116","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm",""
"R15","330","Resistors_SMD:R_0805_HandSoldering","~"
"R16","10k","Resistors_SMD:R_0805_HandSoldering","~"
"IC1","ATMEGA328P-P","Housings_DIP:DIP-28_W7.62mm_Socket_LongPads",""
"AR1","MAX4238","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"R18","10k","","~"
"R19","10k","","~"
"R17","330","Resistors_SMD:R_0805_HandSoldering","~"
"SW3","SPST","custom-fencingTester:SW3",""
"U2","MCP73831","TO_SOT_Packages_SMD:SOT-23-5",""
"R26","470","Resistors_SMD:R_0805_HandSoldering",""
"C6","4.7µF","Capacitors_SMD:C_0805_HandSoldering",""
"R27","2k","Resistors_SMD:R_0805_HandSoldering",""
"C7","4.7µF","Capacitors_SMD:C_0805_HandSoldering",""
"F1","FUSE","Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering",""
"C9","10µF","Capacitors_SMD:C_0805_HandSoldering",""
"L1","2.2µH","custom-fencingTester:CoilCraft-LPS3015-CMS",""
"R33","2.4M","Resistors_SMD:R_0805_HandSoldering",""
"R34","267k","Resistors_SMD:R_0805_HandSoldering",""
"C10","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C11","10µF","Capacitors_SMD:C_0805_HandSoldering",""
"R31","2.4M","Resistors_SMD:R_0805_HandSoldering",""
"R32","220k","Resistors_SMD:R_0805_HandSoldering",""
"C12","10µF","Capacitors_SMD:C_0805_HandSoldering",""
"P4","USB_OTG","custom-fencingTester:USB_Micro-B",""
"D14","LED","custom-fencingTester:ChargingLed",""
"BT1","Battery_Cell","custom-fencingTester:2PadsWire",""
"C13","0.1µF","Capacitors_SMD:C_0805_HandSoldering",""
"U3","TPS61200","custom-fencingTester:TPS61200",""
